,index,split
0,1,train
1,2,train
2,4,train
3,5,train
4,7,train
5,9,train
6,10,train
7,14,test
8,15,test
9,16,train
10,20,train
11,22,train
12,23,train
13,24,train
14,25,train
15,26,train
16,27,train
17,28,train
18,29,train
19,30,train
20,31,train
21,32,train
22,33,train
23,42,train
24,44,train
25,45,train
26,46,test
27,48,train
28,49,train
29,57,train
30,58,train
31,59,train
32,61,train
33,62,train
34,64,train
35,66,train
36,68,train
37,70,train
38,72,train
39,74,train
40,76,train
41,78,train
42,80,train
43,81,train
44,82,train
45,84,train
46,85,train
47,87,train
48,93,train
49,94,train
50,95,test
51,96,train
52,100,train
53,102,test
54,103,train
55,108,train
56,114,train
57,115,train
58,117,train
59,118,train
60,119,train
61,120,train
62,121,train
63,122,train
64,123,train
65,124,train
66,125,train
67,126,test
68,128,train
69,151,train
70,152,train
71,153,train
72,154,train
73,155,train
74,162,test
75,164,test
76,166,train
77,167,train
78,185,train
79,193,train
80,194,train
81,195,train
82,196,train
83,197,train
84,199,train
85,200,train
86,201,train
87,202,train
88,204,test
89,206,test
90,210,validate
91,212,validate
92,213,validate
93,214,validate
94,216,test
95,217,test
96,218,test
97,219,test
98,220,test
99,221,test
100,222,test
101,223,test
102,224,test
103,225,test
104,226,test
105,227,test
106,228,test
107,229,test
108,230,test
109,231,test
110,232,test
111,233,test
112,234,test
113,235,test
114,236,test
115,237,test
116,238,test
117,239,test
118,240,test
119,241,test
120,242,test
121,243,test
122,244,test
123,245,test
124,246,test
125,247,test
126,248,test
127,249,test
128,250,test
129,251,test
130,252,test
131,253,test
132,254,test
133,255,test
134,256,test
135,257,test
136,258,test
137,259,test
138,260,test
139,261,test
140,262,test
141,267,train
142,269,train
143,271,train
144,274,train
145,275,test
146,276,test
147,277,test
148,278,test
149,280,train
150,282,train
151,283,train
152,284,train
153,285,train
154,286,train
155,287,train
156,288,train
157,289,train
158,290,train
159,293,validate
160,295,validate
161,296,validate
162,297,validate
163,298,validate
164,299,validate
165,300,validate
166,301,test
167,303,test
168,304,test
169,307,test
170,311,train
171,312,train
172,313,train
173,314,train
174,321,test
175,322,test
176,327,train
177,328,train
178,330,train
179,331,train
180,332,train
181,333,train
182,334,train
183,336,validate
184,340,train
185,342,test
186,344,test
187,345,test
188,346,test
189,347,test
190,348,test
191,349,test
192,352,train
193,353,train
194,354,train
195,355,train
196,356,train
197,357,train
198,358,train
199,359,train
200,360,train
201,361,train
202,366,test
203,367,test
204,368,test
205,369,train
206,371,train
207,374,test
208,375,train
209,377,test
210,378,test
211,380,test
212,382,test
213,383,test
214,384,test
215,385,train
216,387,train
217,388,train
218,389,test
219,390,test
220,392,train
221,393,train
222,414,validate
223,415,validate
224,421,train
225,422,train
226,428,train
227,429,train
228,430,train
229,431,train
230,432,train
231,433,train
232,434,train
233,435,train
234,436,train
235,438,train
236,439,train
237,440,train
238,441,train
239,442,train
240,443,train
241,444,train
242,445,test
243,447,test
244,448,test
245,457,train
246,461,train
247,463,train
248,465,train
249,467,train
250,469,train
251,470,train
252,471,train
253,472,train
254,473,train
255,474,train
256,475,train
257,476,train
258,477,train
259,478,train
260,479,train
261,480,train
262,481,train
263,482,train
264,483,train
265,484,train
266,485,train
267,486,train
268,487,train
269,488,train
270,490,train
271,492,test
272,494,train
273,496,train
274,497,test
275,499,test
276,501,test
277,502,test
278,504,test
279,505,test
280,506,test
281,507,test
282,508,train
283,510,train
284,511,train
285,513,train
286,514,train
287,515,train
288,517,train
289,518,train
290,519,train
291,520,test
292,522,test
293,523,test
294,533,train
295,535,train
296,537,train
297,538,train
298,539,train
299,541,train
300,543,train
301,545,train
302,547,train
303,549,train
304,551,train
305,552,train
306,553,train
307,554,train
308,555,train
309,556,train
310,557,train
311,558,train
312,560,train
313,573,train
314,575,train
315,576,train
316,578,test
317,581,validate
318,582,validate
319,583,validate
320,584,validate
321,585,validate
322,586,validate
323,587,validate
324,588,validate
325,589,validate
326,590,validate
327,591,validate
328,592,validate
329,593,validate
330,594,validate
331,595,validate
332,596,validate
333,597,validate
334,598,validate
335,599,validate
336,600,validate
337,601,validate
338,602,validate
339,603,validate
340,604,validate
341,605,validate
342,606,validate
343,607,validate
344,608,validate
345,609,validate
346,610,validate
347,611,validate
348,612,test
349,613,test
350,614,test
351,615,test
352,616,test
353,617,test
354,618,test
355,619,test
356,620,test
357,621,test
358,622,test
359,623,test
360,624,test
361,625,test
362,626,test
363,627,test
364,629,test
365,630,test
366,632,test
367,633,test
368,634,test
369,635,test
370,636,train
371,637,train
372,639,train
373,640,train
374,641,train
375,642,train
376,643,test
377,645,train
378,646,train
379,648,validate
380,650,validate
381,651,validate
382,652,validate
383,653,validate
384,654,validate
385,655,validate
386,656,validate
387,658,train
388,662,test
389,663,test
390,665,test
391,666,test
392,668,test
393,669,test
394,670,test
395,671,train
396,679,test
397,681,test
398,682,train
399,684,train
400,686,train
401,688,train
402,689,train
403,691,train
404,693,train
405,694,train
406,695,validate
407,696,validate
408,697,validate
409,710,train
410,711,train
411,712,train
412,713,train
413,714,train
414,715,train
415,716,train
416,722,test
417,723,test
418,724,test
419,725,validate
420,727,validate
421,729,test
422,731,test
423,732,test
424,733,test
425,734,test
426,735,test
427,736,train
428,738,train
429,740,train
430,742,train
431,743,train
432,744,train
433,745,train
434,746,train
435,747,train
436,748,train
437,749,train
438,751,train
439,752,train
440,753,test
441,755,test
442,756,test
443,758,test
444,760,train
445,762,train
446,763,train
447,764,train
448,765,train
449,767,train
450,769,train
451,770,train
452,771,train
453,772,train
454,773,train
455,778,train
456,780,train
457,782,test
458,783,test
459,784,test
460,786,test
461,793,train
462,795,validate
463,797,test
464,798,train
465,800,test
466,802,train
467,803,train
468,805,train
469,807,train
470,809,train
471,810,train
472,811,test
473,813,test
474,815,test
475,817,test
476,819,test
477,820,test
478,821,test
479,822,test
480,823,test
481,824,test
482,825,test
483,826,test
484,827,test
485,828,test
486,829,test
487,830,test
488,831,test
489,832,test
490,833,test
491,834,test
492,835,test
493,836,test
494,847,train
495,849,train
496,850,train
497,851,train
498,852,train
499,853,train
500,854,train
501,855,train
502,857,train
503,859,train
504,861,train
505,863,train
506,865,train
507,867,train
508,868,train
509,870,train
510,872,train
511,874,train
512,875,train
513,876,train
514,877,train
515,878,train
516,879,train
517,880,train
518,881,train
519,882,train
520,883,train
521,884,train
522,887,train
523,888,train
524,890,validate
525,896,train
526,898,train
527,899,train
528,901,train
529,903,train
530,904,train
531,906,train
532,907,train
533,909,train
534,911,train
535,913,train
536,915,train
537,916,train
538,917,train
539,919,train
540,920,train
541,921,train
542,922,train
543,923,train
544,935,train
545,938,test
546,939,test
547,941,test
548,943,test
549,945,train
550,946,validate
551,947,train
552,949,train
553,951,train
554,953,train
555,954,train
556,955,train
557,956,train
558,957,train
559,958,train
560,959,train
561,960,train
562,961,train
563,962,train
564,963,train
565,964,train
566,966,train
567,967,train
568,968,train
569,969,train
570,970,train
571,971,train
572,972,train
573,973,train
574,974,train
575,975,train
576,976,train
577,977,train
578,978,train
579,979,train
580,980,train
581,981,train
582,982,train
583,983,train
584,984,train
585,985,train
586,986,validate
587,987,train
588,989,test
589,992,train
590,993,train
591,995,train
592,996,validate
593,998,validate
594,1000,validate
595,1005,train
596,1009,train
597,1011,train
598,1012,train
599,1013,train
600,1014,train
601,1015,train
602,1016,train
603,1017,train
604,1018,train
605,1031,train
606,1033,train
607,1034,train
608,1035,train
609,1036,train
610,1037,train
611,1039,train
612,1040,train
613,1041,train
614,1042,train
615,1043,train
616,1044,train
617,1045,test
618,1047,test
619,1049,train
620,1050,train
621,1052,train
622,1053,train
623,1054,train
624,1055,train
625,1056,train
626,1057,train
627,1059,train
628,1060,train
629,1061,train
630,1062,train
631,1063,train
632,1064,train
633,1065,train
634,1071,test
635,1072,train
636,1095,test
637,1097,test
638,1099,test
639,1100,test
640,1101,test
641,1113,test
642,1114,train
643,1115,train
644,1117,train
645,1119,train
646,1120,validate
647,1122,validate
648,1124,validate
649,1125,validate
650,1126,validate
651,1137,train
652,1156,test
653,1164,train
654,1165,train
655,1167,train
656,1169,train
657,1171,train
658,1173,train
659,1174,train
660,1175,train
661,1176,train
662,1177,train
663,1184,test
664,1185,test
665,1186,test
666,1187,test
667,1188,test
668,1189,test
669,1190,test
670,1191,test
671,1192,test
672,1193,train
673,1194,train
674,1195,train
675,1196,train
676,1197,train
677,1198,train
678,1201,test
679,1214,test
680,1216,train
681,1239,train
682,1240,validate
683,1242,train
684,1250,train
685,1251,train
686,1253,test
687,1255,train
688,1261,test
689,1274,validate
690,1276,validate
691,1277,validate
692,1279,validate
693,1280,validate
694,1281,validate
695,1282,validate
696,1283,validate
697,1284,validate
698,1285,validate
699,1286,validate
700,1287,validate
701,1288,validate
702,1289,validate
703,1290,validate
704,1291,validate
705,1292,validate
706,1293,validate
707,1294,validate
708,1295,validate
709,1296,validate
710,1297,validate
711,1298,validate
712,1299,validate
713,1300,validate
714,1301,validate
715,1302,validate
716,1303,validate
717,1304,validate
718,1305,validate
719,1306,validate
720,1307,validate
721,1308,validate
722,1309,validate
723,1310,validate
724,1311,validate
725,1312,validate
726,1313,validate
727,1314,validate
728,1315,validate
729,1316,validate
730,1317,validate
731,1318,validate
732,1319,train
733,1320,train
734,1321,train
735,1322,train
736,1361,test
737,1362,test
738,1364,train
739,1365,train
740,1367,train
741,1368,train
742,1369,train
743,1370,train
744,1371,train
745,1372,train
746,1379,train
747,1381,train
748,1382,validate
749,1384,validate
750,1391,train
751,1393,validate
752,1395,validate
753,1397,validate
754,1398,validate
755,1399,train
756,1400,train
757,1402,train
758,1403,train
759,1404,train
760,1405,train
761,1406,train
762,1407,train
763,1408,train
764,1409,train
765,1410,train
766,1411,train
767,1412,train
768,1413,train
769,1414,train
770,1415,train
771,1416,train
772,1417,train
773,1418,train
774,1419,train
775,1420,train
776,1423,train
777,1430,train
778,1432,train
779,1433,train
780,1434,train
781,1439,train
782,1441,train
783,1442,train
784,1458,validate
785,1460,validate
786,1462,validate
787,1463,validate
